"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Il1rapl1",3.24354796897749,0.29064726805419,6.65809741194428,1.94792630056388e-10,1.46445099276393e-06,13.195943959326
"Epha10",2.31699021484617,0.177081326842707,6.36804745558121,9.9968154679321e-10,3.75780293439568e-06,11.6821662061935
"Uvssa",1.64447631688716,0.0806695106993648,6.07209140942237,5.04519305013281e-09,1.26432537836328e-05,10.1857517676224
"Frrs1l",2.85631187120708,0.395244464762963,5.75753210881109,2.66017689677009e-08,4.99980247747938e-05,8.65137486085771
"March1",3.01993679524637,0.415379666927849,5.55564502148581,7.48369399635419e-08,0.000112524822929182,7.69839315198565
"Fxyd5",0.941682490353926,0.0343576033073352,5.51816951415337,9.04164564507229e-08,0.000113291819932756,7.52430854159678
"Foxred1",1.67225531638454,0.13168627573205,5.42280428334326,1.45698440871512e-07,0.000144150304334015,7.08534932029109
"Fxyd7",2.47605178740355,0.325191701291919,5.40382757567483,1.60094917637463e-07,0.000144150304334015,6.99869801273428
"Tubgcp2",1.69055853800095,0.129679059952476,5.3886859999395,1.72566206305684e-07,0.000144150304334015,6.92972566677194
"Ranbp9",1.82177099798044,0.127173634153135,5.31033671222898,2.53789897767747e-07,0.000190799245141792,6.57521270804092
"Cntnap3",0.484653748260952,0.00965261331612956,5.26809732146572,3.11923519087579e-07,0.000213185546954584,6.3857552163523
"Snrpe",1.78779620066745,0.122375297406227,5.23094004707588,3.73606389170861e-07,0.000234064402815544,6.22006497116675
"Edil3",3.80146059594047,0.761258832384059,5.1163669215256,6.47884371399257e-07,0.000374676515706124,5.71494633930398
"Cntn5",3.30739023629662,0.534068810932673,5.05865479091108,8.52026094001502e-07,0.000457538012478807,5.4638494252361
"Gm32647",1.98856542296938,0.118685003071878,5.03941636082441,9.33008710219888e-07,0.000467623965562208,5.38064729462862
"Usp47",2.61100193192411,0.343447947391687,4.98861671449031,1.18433620773052e-06,0.000556489975607379,5.16216160859185
"Ndufa3",2.24158734950864,0.228778232118115,4.95768630835714,1.36825317050498e-06,0.000580685006582884,5.02999715026419
"Ica1l",1.27959319351939,0.0862034507584482,4.95425134033949,1.39030727833093e-06,0.000580685006582884,5.01536020723243
"Wdr83os",1.92503675667827,0.204964823204975,4.88119493497285,1.94965365870454e-06,0.00077144716874425,4.70598379682044
"Abtb1",1.28030201346865,0.0909056179632452,4.86449213001384,2.10524399549347e-06,0.000791361217905996,4.63577091177306
"Grb14",1.63096646532534,0.157251942161776,4.85008606004214,2.2490221238432e-06,0.000805149920335867,4.57536871050223
"Asxl3",1.08738870912255,0.0614879085462874,4.83831489193267,2.37350479256122e-06,0.000811091319567057,4.52612165960108
"Adss",2.35269231568281,0.276887652752871,4.79044472262212,2.95187756618597e-06,0.000964878936634178,4.32684596798192
"Dph5",1.66710163761949,0.125049627202439,4.73749820313197,3.74995872663294e-06,0.00114171073270187,4.10831464098781
"Kcnip4",3.65672407501918,0.768372199065234,4.72650425141479,3.94001188321919e-06,0.00114171073270187,4.06318651100235
"Cep89",1.49784908665026,0.102206578334853,4.72602783919629,3.94845424983356e-06,0.00114171073270187,4.06123286261604
"Gm31218",0.475914646234705,0.0114310167168481,4.64626671114419,5.63716720979085e-06,0.00156963789197065,3.73642741580062
"Gm9866",1.00240378638811,0.0513377094560879,4.62381159648453,6.22638794985303e-06,0.00167178516453554,3.64580455272646
"Slc4a10",2.50390899550939,0.445146223662725,4.59570482036689,7.04782276654907e-06,0.00178671081655104,3.53288320117554
"Plxna2",2.29122576834985,0.28011424974765,4.59307742736577,7.12973190962107e-06,0.00178671081655104,3.52235647596864
"Cadps",2.77268356517725,0.550515121417756,4.57151955141981,7.83728807434873e-06,0.00188328020315229,3.43617218738232
"Nrep",1.89188907589214,0.284228518475815,4.56604854919457,8.02732883072774e-06,0.00188328020315229,3.4143535339753
"Cyth3",1.78931920361,0.214572838402062,4.55933500400644,8.26659307050088e-06,0.00188328020315229,3.3876091172835
"Pex5l",2.42180332810491,0.314985363264667,4.5265354412482,9.53761178642364e-06,0.0021089342767745,3.25741639643934
"D430019H16Rik",1.17650741214945,0.0806491922512169,4.51921995141078,9.84570054469295e-06,0.00211485647700004,3.22848516601212
"Palm2",1.10940978068005,0.0832635797356115,4.48322316528531,1.15063615581092e-05,0.00240291183871847,3.08669274292151
"Tubg2",0.956871869215272,0.0503051902727893,4.46990535633781,1.21864568499434e-05,0.00247615628642904,3.03447301766018
"Ldb2",2.18654363460491,0.398154606963508,4.42914121637196,1.4516507384549e-05,0.00287197638202734,2.87544191257265
"Rab40c",1.52871235708358,0.130666803449556,4.3943770761403,1.68361412635562e-05,0.00317240722107251,2.74078271256773
"Cep44",2.04633668612307,0.226025795844015,4.38852373153234,1.72601410199113e-05,0.00317240722107251,2.71819733485906
"Lsm7",2.26684180639709,0.337390248801798,4.38796737691442,1.73009704793792e-05,0.00317240722107251,2.71605193314815
"Actr2",2.21642187525316,0.334964786668314,4.36512898832773,1.90593041931138e-05,0.00341161545056738,2.62818048683029
"Slc2a13",2.34291797260306,0.395541736304484,4.34236771362388,2.09814023816248e-05,0.00361267344180298,2.54098991762296
"Matk",2.52784492753138,0.518581285239926,4.34053939153663,2.11436062036886e-05,0.00361267344180298,2.53400291976822
"Dlg2",3.07950103893469,0.832428691443404,4.32922238041737,2.21746738502447e-05,0.00370464884458089,2.49080980238052
"Coprs",1.49881473562616,0.124529841939944,4.31112498792586,2.39242496794399e-05,0.00388565234200536,2.42193622587228
"Skiv2l2",1.36714791363413,0.114147245013319,4.3074848016545,2.42917877193738e-05,0.00388565234200536,2.4081121590808
"Sppl2b",1.5432041474985,0.153609785660774,4.26531594235769,2.89632571237442e-05,0.00453637014700643,2.24869145102673
"AC124561.1",1.5388409280334,0.175538560018617,4.24100459210508,3.20349635362644e-05,0.00491507869113542,2.15738635650024
"Zfp942",1.29871677233012,0.0960912472081225,4.23477808646988,3.28704144456022e-05,0.00494239551604075,2.13407307784007
"Snrpb",2.21566936880081,0.316881000087147,4.21030102465126,3.63610222004317e-05,0.00536004244907541,2.04270863386255
"Dnlz",1.76250757744865,0.173021677847946,4.1962992171934,3.85142119575424e-05,0.00556826625955392,1.99064761161131
"Gmcl1",2.48553473880887,0.420727376894425,4.16875897206438,4.31098774489471e-05,0.00610552573670417,1.88868037835377
"Tmem138",1.28939531196027,0.0926636626532803,4.15537015729221,4.55288856972049e-05,0.00610552573670417,1.8393158533236
"Scn2a",3.12422234089055,0.952611881761961,4.15382100265765,4.58169967655512e-05,0.00610552573670417,1.83361289239816
"Plekhh2",0.840473396441183,0.0373195492020576,4.14939359354338,4.66500280295592e-05,0.00610552573670417,1.81732413861682
"Cacng3",1.95881264331514,0.311258699752398,4.1482626393822,4.68651269977948e-05,0.00610552573670417,1.81316566180169
"Lrrc4c",2.75352505212327,0.592918034137051,4.14701760023085,4.71030184528919e-05,0.00610552573670417,1.80858882091112
"Zfp385b",1.83728628944116,0.219893498662503,4.13322082103986,4.98175039724192e-05,0.00634793211634995,1.75794978322391
"Etl4",2.25506510844076,0.422684070369223,4.12890497906728,5.06968422150021e-05,0.00635231432953976,1.74213881754445
"Elavl4",2.03281717967915,0.279203295865202,4.12077843629511,5.23929374393912e-05,0.00645721481425152,1.71240590254817
"Rusc1",1.78167139681346,0.248158263057734,4.10558842391646,5.57094016385486e-05,0.00675521421804207,1.65696438569004
"Brk1",1.80774031886943,0.228969659665689,4.08272337546968,6.10814046152268e-05,0.00728904761741707,1.57384175057019
"Spata2l",0.937570076391909,0.0646807130990542,4.06808074365428,6.47771077298371e-05,0.0076092858736393,1.52082033186993
"Car10",2.00997723203463,0.310570578710648,4.04883953943607,6.995818141463e-05,0.00809147089038751,1.45139689287526
"Trim59",0.645802798441407,0.0222491983778693,4.03776272957992,7.31173429654944e-05,0.00823042945966564,1.41155983903816
"Gm27000",1.17132139615533,0.0858812478624182,4.03594833558147,7.36475895829665e-05,0.00823042945966564,1.40504346220944
"Zmat4",2.179134720927,0.469097698062376,4.03324676637704,7.44438950860952e-05,0.00823042945966564,1.39534549045515
"Rab40b",1.3724568109875,0.1493062541988,4.02607394123466,7.65980865840112e-05,0.00834586108606661,1.36962401733383
"Cst3",-5.1493838966352,3.09389539511441,-4.02024840614153,7.83911715118927e-05,0.00841921182037728,1.34876298352946
"Hivep2",2.66293315644791,0.604756665992345,3.97041988182109,9.54468680182602e-05,0.0101066134332575,1.1713972659194
"Gdap1",2.18952278246773,0.382775998586728,3.95843456162897,0.000100046599807804,0.0104465324632648,1.12902138420259
"Trmt6",1.60022353693277,0.201197678829496,3.94259365526868,0.00010644983048348,0.0109628743229425,1.07318420933891
"Eml1",1.0653403203787,0.108464378042408,3.93524875607507,0.000109549124267858,0.0111295988681859,1.04736040855161
"Aftph",1.81995492726202,0.278983830651697,3.92511962196652,0.000113964068177138,0.0114237581940763,1.01181627556829
"Atat1",1.6638069174656,0.186180201256454,3.91087145654593,0.000120461029103611,0.0118719701967686,0.961953037563912
"Zfp410",1.20380308819662,0.107259911783306,3.90382555074702,0.000123802273981007,0.0118719701967686,0.937353380525166
"Sdk2",0.905250671453218,0.043495041501361,3.90195259263931,0.000124705134114833,0.0118719701967686,0.930820750065724
"Pam16",1.81878516884559,0.221446673965811,3.90185569212711,0.000124752014570992,0.0118719701967686,0.930482848225535
"Cit",2.50164650243162,0.564844567585778,3.89552838988475,0.000127849610720739,0.0120146671674814,0.908434744823719
"Runx1t1",1.71525978588184,0.244341677205147,3.88480424933614,0.000133266968085712,0.0122491434797815,0.871136713820414
"Cep97",1.31262705203209,0.107558299062793,3.88415211665893,0.000133603320742496,0.0122491434797815,0.868871522456484
"Dpp10",1.50319542862052,0.215821889468381,3.87748715575249,0.000137087397645767,0.0124171452469985,0.845739728624943
"Znhit1",1.78846443598965,0.233609098040388,3.85890908476338,0.000147259345192742,0.0130813327000574,0.781444821994824
"Nav1",1.81116678557978,0.305461746907177,3.85777984495173,0.000147900143589369,0.0130813327000574,0.777545455572653
"Vps41",1.96923853978505,0.335568208678319,3.83749682640881,0.000159869751146908,0.0139755905711914,0.707676424964481
"Celf3",1.95490749130703,0.332099947872436,3.82915123545258,0.000165056386321744,0.0141267829146197,0.679021965474242
"Brdt",0.963442461959322,0.091326791639861,3.82867455268988,0.000165357395116591,0.0141267829146197,0.677386932416981
"Klhl18",1.09260009428485,0.091071172574253,3.8201588987327,0.000170823107552591,0.0144297541862964,0.648208100895762
"Matn2",0.77847554081381,0.04816335750312,3.81591309828137,0.000173611713730096,0.0145023651535873,0.633681173975482
"Tjap1",0.931918785902404,0.0580418387333521,3.78123313837443,0.000198057819808168,0.0162313998970375,0.515555377135028
"Hars",1.40913757453589,0.146516869079666,3.78047299064515,0.000198628463757309,0.0162313998970375,0.512976797358833
"Clstn2",1.78958254463099,0.358255824800365,3.77673837603753,0.000201454697069705,0.0162853377695704,0.500314825910082
"Osbp2",1.40392490922562,0.20565122908743,3.7683620556369,0.000207932501137505,0.0164985880807685,0.471955478186348
"Kcnb1",1.81176958636322,0.294662485134744,3.76766320881103,0.000208481759467014,0.0164985880807685,0.469591926199201
"Bbof1",1.13259229150077,0.0959264829276097,3.76380582976864,0.000211538223337103,0.0165660871150869,0.456552924155814
"Kpnb1",1.843416589033,0.296778396647194,3.74537868483124,0.000226732795164929,0.0174151277070988,0.394426407133114
"Sorcs3",1.29136526281468,0.129948192376479,3.74348363656469,0.000228352574674014,0.0174151277070988,0.388052547349004
"Zfp612",2.2402869620355,0.433134808546667,3.74234705700754,0.000229329295424685,0.0174151277070988,0.384231106953464
"Rpl14",2.40298378319151,0.541370336264417,3.73527729781167,0.000235493870200689,0.0177044291616878,0.36048393285445
"Trmt10b",1.25779822948337,0.103332449378407,3.73133284296715,0.000239000967009589,0.0177901907918623,0.347251801086077
"Psd",1.89841070791281,0.283992081139506,3.72268435311457,0.000246863880466179,0.017966447098865,0.318282608633612
"Trpc1",2.22055181841127,0.423080319979256,3.72235190632608,0.000247170950277842,0.017966447098865,0.317170220771142
"Il1rap",1.6978081863307,0.311275206741522,3.72035625637349,0.000249021856346699,0.017966447098865,0.310494493636694
"Pcdha11.1",0.69204722162434,0.0529392537742638,3.71831559615505,0.000250928032107053,0.017966447098865,0.303671468917128
"Tbc1d32",0.91310327126041,0.0612168185434901,3.71397659763127,0.000255026949794085,0.0180876661184145,0.289174848977353
"Cttnbp2",2.33928858173314,0.66607414862496,3.71099572971653,0.000257879412473638,0.0181190413362319,0.27922441374381
"Ppan",1.09108554035711,0.0724617593196277,3.69993303263147,0.000268730952177197,0.01858930727533,0.242357738761805
"Ccdc30",1.81705827040987,0.28625900321735,3.69914739276898,0.000269517756452643,0.01858930727533,0.239743276571809
"Pgap1",2.12279998684552,0.432164556743073,3.69245789346356,0.000276305752470407,0.0187327464472891,0.217501762396319
"Tub",1.74710744940459,0.279905278289835,3.69140286291302,0.000277390926589406,0.0187327464472891,0.213997204899686
"Stx3",1.37240347004411,0.176603464432789,3.68977559404281,0.000279072572771533,0.0187327464472891,0.20859354625285
"Uqcr10",2.08704935811778,0.358353558698883,3.68020113490591,0.000289163304479232,0.0192383161334059,0.176842409468017
"Gabrd",0.941877131617747,0.0893591162336271,3.67370980837208,0.000296199267871314,0.0195335622443556,0.155357196118497
"Rhbdl1",2.01261978752979,0.365141142217959,3.66539180619994,0.000305451192782514,0.0199685397159908,0.127875092337525
"Sfxn3",1.36297684499672,0.182788441827138,3.64341944041157,0.000331217641747121,0.0213968479894458,0.0555455308338058
"Ptprz1",-3.98139358488809,1.97876598095685,-3.64196653331758,0.000332991648678525,0.0213968479894458,0.0507763868667537
"Neto2",1.44594520236421,0.149379204918299,3.63501954349181,0.000341598325498909,0.0217638661957695,0.0279963409521482
"Nvl",2.47508679101939,0.564842755982456,3.6279352856563,0.000350590459793408,0.0221078036339964,0.00480594600172513
"Slc1a3",-4.15740415413645,2.21143430223648,-3.6261604350656,0.000352877951061394,0.0221078036339964,-0.000997752530345508
"Prdm15",0.732163935359959,0.0434898430604607,3.61706743460879,0.000364819336846353,0.0226670394579412,-0.0306919607256804
"C230004F18Rik",2.99617080259596,0.917817466032988,3.60280262453111,0.000384321488420359,0.0235827394080104,-0.0771417278739328
"Mbip",1.90271272431128,0.338984883128395,3.6001426727506,0.000388064838568459,0.0235827394080104,-0.0857851308228659
"Naa38",1.30281888497487,0.141466601708143,3.59851170666316,0.000390377027410332,0.0235827394080104,-0.0910820781231649
"Ulk4",0.882555049103821,0.0545187318815574,3.59713511333919,0.000392338673080883,0.0235827394080104,-0.0955512275496435
"Mamld1",1.11097236508138,0.10354673984611,3.59510991133363,0.000395241442592353,0.0235827394080104,-0.102123337015966
"Man2a1",1.22949378533298,0.139044128016459,3.58601431708717,0.000408529158085459,0.0241313210691596,-0.131599383091355
"Klhl15",1.07964160597162,0.106624242737319,3.58266973389113,0.000413519993079427,0.0241313210691596,-0.142421434460194
"Cspp1",2.54191637550833,0.593172616504913,3.58189387517047,0.000414685901569486,0.0241313210691596,-0.144930591296446
"Kcnj3",1.67721246767837,0.325058174683569,3.58017840511429,0.000417274772411644,0.0241313210691596,-0.150476768469785
"Fbxw5",1.4243217003546,0.177011609542085,3.56632023771135,0.000438752575585701,0.0251797088797962,-0.195193889326904
"Meg3",6.00045951136795,2.24744884995405,3.56055930898108,0.000447983097902483,0.025514673712355,-0.213737574449666
"Gm30382",1.65395966137941,0.244072567448514,3.55080270350371,0.000464033000262193,0.0259893145412058,-0.245081811335226
"Dok6",1.87998610174775,0.319725364251053,3.54952040654656,0.000466182118610917,0.0259893145412058,-0.249195632653738
"Ryr2",2.17570635084673,0.572361138012965,3.54921960462703,0.000466687611474166,0.0259893145412058,-0.25016046301773
